,Echantillon,Type,Value,Depth_cm
2,H4,R,-0.08596730333043137,0.04
3,H4,R,-0.09108779271465282,0.06
4,H4,R,-0.09087878140045366,0.08
5,H4,R,-0.05802736369769939,0.1
6,H4,R,-0.051615099038511504,0.12
7,H4,R,-0.03668078447068411,0.14
8,H4,R,-0.03668399144704463,0.16
9,H4,R,-0.08373649965899846,0.18
10,H4,R,-0.08390593959901164,0.2
11,H4,R,-0.0839059468205266,0.22
12,H4,R,-0.1617886741432309,0.24
13,H4,R,-0.0002534050883907377,0.26
14,H4,R,0.0,0.28
0,H4,C,217.59139796823956,0.0
1,H4,C,207.05224658094346,0.01
2,H4,C,196.04301498299884,0.02
3,H4,C,184.75339168737904,0.03
4,H4,C,173.34300795932964,0.04
5,H4,C,161.98527428194217,0.05
6,H4,C,150.75791100083393,0.06
7,H4,C,139.75767723948212,0.07
8,H4,C,129.05907841140018,0.08
9,H4,C,118.71993751118906,0.09
10,H4,C,108.67354895196392,0.1
11,H4,C,98.83696163621396,0.11
12,H4,C,89.21837999261344,0.12
13,H4,C,79.83086050132823,0.13
14,H4,C,70.64365361548786,0.14
15,H4,C,61.61251995082102,0.15
16,H4,C,52.76456053801951,0.16
17,H4,C,44.12461010940404,0.17
18,H4,C,35.939765090207516,0.18
19,H4,C,28.469600447741094,0.19
20,H4,C,21.74518845048599,0.2
21,H4,C,15.791714593798025,0.21
22,H4,C,10.633656890418157,0.22
23,H4,C,6.2925909714369705,0.23
24,H4,C,3.1911809545748206,0.24
25,H4,C,1.7608226910128015,0.25
26,H4,C,1.1753209994527276,0.26
27,H4,C,0.5886992407657926,0.27
28,H4,C,0.0,0.28
0,E1,Db,0.0,
1,E1,SSE,0.002799621144699124,
2,E1,R_int,-0.024396326389676093,
3,E1,r^2,0.9972283296524683,
0,E1,R,0.0,0.0
1,E1,R,0.0,0.02
2,E1,R,-0.07250586689368888,0.04
3,E1,R,-0.07446541375204399,0.06
4,E1,R,-0.07446540913126916,0.08
5,E1,R,-0.062017989619281594,0.1
6,E1,R,-0.0587936134684266,0.12
7,E1,R,-0.055584076004255197,0.14
8,E1,R,-0.055440669034583695,0.16
9,E1,R,-0.05423599431137528,0.18
10,E1,R,-0.054245024122077136,0.2
11,E1,R,-0.0734910438418626,0.22
12,E1,R,-0.12095301255133468,0.24
13,E1,R,-0.002798708281946227,0.26
14,E1,R,0.0,0.28
0,E1,C,229.03740453151235,0.0
1,E1,C,219.43509353625538,0.01
2,E1,C,209.25536131496006,0.02
3,E1,C,198.49645383358612,0.03
4,E1,C,187.34923348165682,0.04
5,E1,C,176.07839116021282,0.05
6,E1,C,164.83058369914517,0.06
7,E1,C,153.68092695738392,0.07
8,E1,C,142.69982440060815,0.08
9,E1,C,131.93732442468266,0.09
10,E1,C,121.44792966346127,0.1
11,E1,C,111.24073385596203,0.11
12,E1,C,101.30785541292472,0.12
13,E1,C,91.67912700669753,0.13
14,E1,C,82.38245920916084,0.14
15,E1,C,73.43510649634106,0.15
16,E1,C,64.8577074073106,0.16
17,E1,C,56.67371888414737,0.17
18,E1,C,48.90576374160242,0.18
19,E1,C,41.577316715790076,0.19
20,E1,C,34.705750220992336,0.2
21,E1,C,28.303518628305998,0.21
22,E1,C,22.38909721577638,0.22
23,E1,C,16.978905853352572,0.23
24,E1,C,12.163326208281894,0.24
25,E1,C,8.047775306756785,0.25
26,E1,C,4.824257585646215,0.26
27,E1,C,2.7341621155199696,0.27
28,E1,C,1.679555342866181,0.28
29,E1,C,1.0996556707641918,0.29
30,E1,C,0.5441980047167316,0.3
31,E1,C,0.0,0.31
0,F4,Db,0.0,
1,F4,SSE,0.0017464132608139317,
2,F4,R_int,-0.021719528692546175,
3,F4,r^2,0.9982635358117559,
0,F4,R,-1.6255465061783635e-05,0.0
1,F4,R,-0.004751103913744376,0.02214285714285714
2,F4,R,-0.0186821327914563,0.04428571428571428
3,F4,R,-0.04070832354631782,0.06642857142857142
4,F4,R,-0.0589724515840884,0.08857142857142856
5,F4,R,-0.0658006519213453,0.11071428571428571
6,F4,R,-0.06345302800933521,0.13285714285714284
7,F4,R,-0.06262361087392491,0.155
8,F4,R,-0.05925074820568503,0.17714285714285713
9,F4,R,-0.05719570542551489,0.19928571428571426
10,F4,R,-0.05979352836990933,0.22142857142857142
11,F4,R,-0.06813185965771783,0.24357142857142855
12,F4,R,-0.07178438119873697,0.2657142857142857
13,F4,R,-0.04421850572581907,0.2878571428571428
14,F4,R,-0.00033638374611265863,0.31
0,F4,C,223.12373454653186,0.0
1,F4,C,214.5681330139692,0.01
2,F4,C,205.51075443116943,0.02
3,F4,C,195.96480448686182,0.03
4,F4,C,185.9882570797553,0.04
5,F4,C,175.65167381367706,0.05
6,F4,C,165.0309820213414,0.06
7,F4,C,154.23860368120256,0.07
8,F4,C,143.38974601931233,0.08
9,F4,C,132.5837105447137,0.09
10,F4,C,121.93202205644351,0.1
11,F4,C,111.5110185092141,0.11
12,F4,C,101.38619024568806,0.12
13,F4,C,91.5978923457498,0.13
14,F4,C,82.17956469081199,0.14
15,F4,C,73.15843703030062,0.15
16,F4,C,64.56730805679237,0.16
17,F4,C,56.42990215065573,0.17
18,F4,C,48.75648914531257,0.18
19,F4,C,41.56040828024905,0.19
20,F4,C,34.85597900705383,0.2
21,F4,C,28.6535660878232,0.21
22,F4,C,22.984047703445317,0.22
23,F4,C,17.876503256940705,0.23
24,F4,C,13.379977896642107,0.24
25,F4,C,9.54824501098285,0.25
26,F4,C,6.419787360509363,0.26
27,F4,C,4.023279895237991,0.27
28,F4,C,2.3225479974915357,0.28
29,F4,C,1.1927306755134894,0.29
30,F4,C,0.4886989431252582,0.3
31,F4,C,0.0,0.31
0,K3,Db,0.0,
1,K3,SSE,0.002813241718088524,
2,K3,R_int,-0.026788394800871862,
3,K3,r^2,0.9972083233348669,
0,K3,R,0.0,0.0
1,K3,R,-0.0682160218657079,0.02214285714285714
2,K3,R,-0.06821602068356152,0.04428571428571428
3,K3,R,-0.06818676288803899,0.06642857142857142
4,K3,R,-0.06975719807705778,0.08857142857142856
5,K3,R,-0.06982660615310853,0.11071428571428571
6,K3,R,-0.07108630718166799,0.13285714285714284
7,K3,R,-0.07084204281122952,0.155
8,K3,R,-0.05735958928661919,0.17714285714285713
9,K3,R,-0.05616580572867804,0.19928571428571426
10,K3,R,-0.05391103786157945,0.22142857142857142
11,K3,R,-0.09094221560932432,0.24357142857142855
12,K3,R,-0.08890711899166227,0.2657142857142857
13,K3,R,0.0,0.2878571428571428
14,K3,R,0.0,0.31
0,K3,C,230.26393841517176,0.0
1,K3,C,219.72399415601777,0.01
2,K3,C,208.73186247268916,0.02
3,K3,C,197.49823436303353,0.03
4,K3,C,186.13015374967227,0.04
5,K3,C,174.6949101445513,0.05
6,K3,C,163.24098531530126,0.06
7,K3,C,151.83441376789676,0.07
8,K3,C,140.54046620612763,0.08
9,K3,C,129.41191060799022,0.09
10,K3,C,118.51296609123878,0.1
11,K3,C,107.89957700022072,0.11
12,K3,C,97.6141999556113,0.12
13,K3,C,87.7108347557076,0.13
14,K3,C,78.24013226865758,0.14
15,K3,C,69.23810804661704,0.15
16,K3,C,60.74275927039907,0.16
17,K3,C,52.75963279265057,0.17
18,K3,C,45.25618571560646,0.18
19,K3,C,38.214823413817555,0.19
20,K3,C,31.653114767425215,0.2
21,K3,C,25.583068396314506,0.21
22,K3,C,20.012785714683126,0.22
23,K3,C,14.947990513169625,0.23
24,K3,C,10.548901937092392,0.24
25,K3,C,7.005875489526178,0.25
26,K3,C,4.391390083028224,0.26
27,K3,C,2.709624800162906,0.27
28,K3,C,1.7838969919784884,0.28
29,K3,C,1.192063410628431,0.29
30,K3,C,0.5973371033796603,0.3
31,K3,C,0.0,0.31
0,L3,Db,0.0,
1,L3,SSE,0.0010588294026336665,
2,L3,R_int,-0.02314354576554877,
3,L3,r^2,0.9989562154665019,
0,L3,R,0.0,0.0
1,L3,R,0.0,0.02214285714285714
2,L3,R,-0.021522551360549008,0.04428571428571428
3,L3,R,-0.07522249584100094,0.06642857142857142
4,L3,R,-0.07522331718256428,0.08857142857142856
5,L3,R,-0.07458895315316245,0.11071428571428571
6,L3,R,-0.0745889542584254,0.13285714285714284
7,L3,R,-0.05758150710218574,0.155
8,L3,R,-0.041303257940674555,0.17714285714285713
9,L3,R,-0.04102162142361345,0.19928571428571426
10,L3,R,-0.03458911870842558,0.22142857142857142
11,L3,R,-0.030458637202471224,0.24357142857142855
12,L3,R,-0.15702808469935597,0.2657142857142857
13,L3,R,-0.03689292494464414,0.2878571428571428
14,L3,R,0.0,0.31
0,L3,C,232.00282520258546,0.0
1,L3,C,222.89390662191187,0.01
2,L3,C,213.23723626176206,0.02
3,L3,C,203.0311502150549,0.03
4,L3,C,192.346813955491,0.04
5,L3,C,181.27852505396598,0.05
6,L3,C,169.97258678815496,0.06
7,L3,C,158.65612314228997,0.07
8,L3,C,147.50797816861837,0.08
9,L3,C,136.5787629379021,0.09
10,L3,C,125.93000605745033,0.1
